title,author,url,created_at
"Agentic test processes, LLM benchmarks, and other notes from Galapagos Island",gnyeki,https://danluu.com/ai-coding/,2026-07-20T09:25:53Z
Keeping teams on one AI harness,mohammad0omar,https://baselane.sh/blog/keeping-teams-on-one-harness/,2026-07-20T09:03:34Z
Airbus migrating 70 critical apps from AWS to Scaleway amid digital sovereignty,_____k,https://www.theregister.com/paas-and-iaas/2026/07/16/airbus-migrating-70-critical-apps-from-aws-to-frances-scaleway-amid-digital-sovereignty-push/5272373,2026-07-20T08:58:07Z
"VS Code Lets You Add Page Elements to Copilot, So I Built It for Any AI Agent",MarcBuilds01,https://medium.com/@marcbuilds/i-built-a-vs-code-extension-that-lets-you-click-a-web-page-element-and-paste-it-into-any-ai-chat-b60d2b424ff7,2026-07-20T08:48:05Z
AI Data Center Power Constraints Are the Real 2026 Bottleneck,DaWe01,https://www.spheron.network/blog/ai-data-center-power-constraints-2026/,2026-07-20T08:26:08Z
Kimi K3 Why Washington Is Watching,Kavon2992,https://www.bargo.ai/research/kimi-k3-frontend-code-arena-benchmark-policy,2026-07-20T08:16:07Z
Topological Control of LLMs: A Route to Trustworthy AI,visha1v,https://cacm.acm.org/blogcacm/topological-control-of-llms-a-route-to-trustworthy-ai/,2026-07-20T08:09:59Z
The Dawn of AI Change-Control,visha1v,https://cacm.acm.org/news/the-dawn-of-ai-change-control/,2026-07-20T08:09:30Z
Amsterdam activists throw acid at Microsoft datacenter project,vrganj,https://www.theregister.com/ai-and-ml/2026/07/16/amsterdam-activists-throw-acid-at-microsoft-datacenter-project/5273943,2026-07-20T08:06:55Z
Trump pushes UN 'free speech' declaration in veiled attack on EU tech regulation,thm,https://www.politico.eu/article/trump-administration-will-push-un-free-speech-declaration-that-takes-aim-at-european-tech-regulation/,2026-07-20T07:59:05Z
